10982,"NOTES : This message is not important , I have already translated .",None,N/A
5623,We have no food to eat . We can not feed the children .,Food,need
7173,I want to work I need food Whatever that I find and both will good Thanks,Food,need
4947,"I am a victim of the earthquake . I live in Mariani 1 , we have problem : no drinking water as well as tent . We are waiting for your response .",Water,need
3217,"Sir or madam , I 'm hungry , I can not stand because I 'm very hungry , if you could share the food , it would benefit the population , thanks",Food,need
128,"I live in La Plaine , my wife is pregnant , she got injured by falling blocks . She can not walk . we have not found anyone to help us . We are in the area called Moya",Medical,need
3425,I do n't need to know the price of food because I do n't have money . I just need to eat .,None,N/A
2385,Message to be forwarded to government and to broadcast on radio : we are in Kensnoff and the quake hit us hard . We need to eat,Food,need
9123,"Good evening , it makes a very long time that I did n't receive some information",None,N/A
9076,NOTES : it 's not important message,None,N/A
1491,"Hello , I am in Fort Jacques , a wall fell on my legs , I need HELP",Medical,need
1622,"Oh my God . I would like to know why we are not getting aid . Those of us who are in Signo , Geren , Brach . We have 4 little bags of rice , 1/2 gallon of oil , a small bag of beans for 22 people .",Food,need
7337,when exactly the activities for the passport will restart ?,None,N/A
8392,I do n't have water and Aguatab in the roadcross Paloma,Water,need
2043,"Hello , when will American Airline reopen commercial flights ?",None,N/A
4116,"I salute your staff , but I need help because I ca n't find food . I sent a message before but I did n't get a response . Find a way to respond , children of the Good Lord .",Food,need
3448,".. what we had to eat is all done , . We are about 240 people",Food,need
6637,What Can I do if I want to have a job ?,None,N/A
6599,There is a man who need therapy . Where can he go ? What can we do in this situation ?,Medical,need
3437,I want you to understand that we are hungry . . We all . . I would like us to get a good answer,Food,need
5759,"I would like in anyway possible for the responsible authorities to reinstate the school again in Haiti . And to ask for scholarship , I would also like a scholarship . Thank you .",None,N/A
6489,We are in Leogane . We need food and care . We are really in needs .,Food,need
8310,If I would like to make a passport where must I go and with wich document to present me ?,None,N/A
8320,What is the government intend to do for the people who lost their passport and ID cards,None,N/A
2671,i would like a little information on children for adoption please,None,N/A
4704,"Please , what can I do to get a food card or where can I go , thanks in advance",None,N/A
2595,"my house has collapsed i m living in the streets with 7 kids , my father , my mom and my wife . .. what can i do we are hungry",Food,need
14245,My house has collapsed because of flood . I am unable to make it again . I am in grave difficulty . My three little daughters and rest of my home members ...,Medical,need
8309,"HELLO , I would like TO REGISTER ME In the SERVICE INFORMATION THANK YOU .",None,N/A
304,"my friend i have heard nothing again . i have a lot of problems . what u give i 'll take I am in Jeremi , i want u to help me",Medical,need
4640,How can I find a pass for the food distribution programm please ?,Food,need
